index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,GSM
GSE25821_group11,IG_SO3972_SO3973_at,SO0818_at,UP_SO3972_at,SO4349_at,SO0185_at,SO1518_x_at,SO0817_at,SO1361_x_at,SO3972_at,SO0867_at,SO4655_at,SO4651_at,UP_SO0758_at,SO4319_at,SO2337_at,SO1362_x_at,SO4055_at,SO1486_x_at,UP_SO2161_s_at,UP_SO2029_s_at,GSM634443
GSE25821_group12,SO4349_at,SO0818_at,SO0867_at,SO1361_x_at,SO0817_at,SO1518_x_at,SO1362_x_at,SO0866_at,SO1830_x_at,SO3415_at,SO3687_at,SO1915_at,SO4655_at,SO4056_x_at,UP_SO2161_s_at,SO4651_at,SO4319_at,SO0273_x_at,SO1519_at,SO1751_at,GSM634443
GSE25821_group13,SO4349_at,SO0818_at,SO1915_at,SO0866_at,SO0867_at,SO1361_x_at,SO1518_x_at,SO1362_x_at,UP_SO0424_at,SO3687_at,SO4056_x_at,SO4655_at,SO0865_at,SO0273_x_at,SO0817_at,SO4651_at,UP_SO2161_s_at,SO2444_at,SO4319_at,SO0564_at,GSM634443
GSE25821_group14,SO4349_at,SO0818_at,SO1915_at,SO1361_x_at,SO0866_at,SO0867_at,SO1518_x_at,SO1362_x_at,SO4056_x_at,SO3687_at,SO0865_at,SO0564_at,SO0817_at,SO4655_at,SO1519_at,SO2444_at,UP_SO2161_s_at,SO0274_at,SO1325_at,SO3741_x_at,GSM634443
GSE25821_group15,SO4349_at,SO0818_at,SO0866_at,SO1915_at,SO1361_x_at,SO0867_at,SO1362_x_at,SO1518_x_at,SO4651_at,SO0817_at,SO0564_at,SO4056_x_at,SO0865_at,SO3687_at,SO0273_x_at,SO4655_at,SO3415_at,UP_SO2161_s_at,SO1519_at,SO2444_at,GSM634443
GSE25821_group16,SO4349_at,SO0818_at,SO0866_at,SO1915_at,SO1361_x_at,SO0867_at,SO1518_x_at,SO0564_at,SO4651_at,SO0273_x_at,SO4655_at,SO1362_x_at,SO4319_at,SO0865_at,SO4056_x_at,SO3687_at,UP_SO2161_s_at,SO1519_at,SO0817_at,SO2444_at,GSM634443
GSE25821_group17,SO0818_at,SO0866_at,UP_SO2195_at,SO4651_at,SO0867_at,SO2196_x_at,SO2195_at,SO4349_at,SO0817_at,SO1030_at,SO1915_at,SO1361_x_at,SO2858_at,SO4056_x_at,SO3687_at,SO0185_at,SO0837_at,SO0564_at,SO4319_at,SO3134_at,GSM634443
GSE25821_group18,SO0818_at,SO0866_at,UP_SO2195_at,SO0867_at,SO4349_at,SO1915_at,SO1361_x_at,SO0817_at,SO2195_at,SO2196_x_at,SO3687_at,SO2858_at,SO4651_at,SO4319_at,SO0564_at,SO4056_x_at,SO0837_at,SO4655_at,SO0185_at,SO1030_at,GSM634443
GSE25821_group19,SO0866_at,SO0818_at,SO0867_at,SO0996_at,SO2445_at,SO2858_at,SO2442_at,SO3687_at,SO2444_at,SO1915_at,SO0185_at,UP_SO2713_at,SO1324_at,SO2443_at,SO3686_at,SO2073_at,SO0120_x_at,SO4349_at,SO2441_x_at,SO1751_at,GSM634443
GSE25821_group20,SO0867_at,SO0866_at,SO0818_at,SO2444_at,SO2445_at,SO3687_at,SO2442_at,SO2858_at,SO2443_at,SO1915_at,SO3686_at,SO2441_x_at,SO0185_at,SO4349_at,SO0996_at,SO2072_x_at,SO0865_at,SO1324_at,SO0120_x_at,SO2073_at,GSM634443
GSE25821_group21,SO0867_at,SO0818_at,SO2444_at,SO2442_at,SO2445_at,SO0866_at,SO2441_x_at,SO1915_at,SO2443_at,SO4349_at,SO0185_at,SO3687_at,SO2858_at,SO3686_at,SO1324_at,SO2072_x_at,SO0865_at,SO0817_at,SO1822_at,SO0120_x_at,GSM634443
GSE25821_group22,SO0867_at,SO2442_at,SO0818_at,SO2444_at,SO2445_at,SO0866_at,SO2441_x_at,SO2443_at,SO1915_at,SO4349_at,SO3687_at,SO0817_at,SO1361_x_at,SO1324_at,SO0185_at,SO0865_at,SO1325_at,SO1362_x_at,SO1822_at,SO2072_x_at,GSM634443
GSE25821_group23,SO2442_at,SO0818_at,SO2445_at,SO0866_at,SO0867_at,SO2444_at,SO2443_at,SO2441_x_at,SO1324_at,SO1361_x_at,SO3687_at,SO3686_at,SO4349_at,SO1915_at,SO0817_at,SO2073_at,SO0865_at,SO0185_at,SO2072_x_at,SO0275_x_at,GSM634443
GSE25821_group24,SO2442_at,SO0818_at,SO0867_at,SO2444_at,SO2445_at,SO0866_at,SO2443_at,SO2441_x_at,SO1362_x_at,SO4349_at,SO1361_x_at,SO1324_at,SO1325_at,SO0817_at,SO0865_at,SO2858_at,SO3687_at,UP_SO0877_at,SO4236_at,UP_SO2445_x_at,GSM634443
GSE25821_group25,SO2445_at,SO4290_at,SO2444_at,SO0818_at,SO2442_at,SO0867_at,SO4292_at,SO2443_at,SO1915_at,SO0866_at,SO2441_x_at,SO1324_at,SO1532_x_at,SO1362_x_at,SO3819_at,SO1361_x_at,SO2858_at,SO1325_at,SO4289_x_at,SO3687_at,GSM634443
GSE25821_group26,SO0867_at,SO2444_at,SO1915_at,SO2445_at,SO2442_at,SO0818_at,SO2441_x_at,SO0866_at,SO2443_at,SO1532_x_at,SO4349_at,SO3819_at,SO1362_x_at,SO1361_x_at,SO2858_at,SO1325_at,SO3687_at,SO0564_at,SO1324_at,SO4236_at,GSM634443
GSE25821_group27,SO0818_at,SO2445_at,SO2444_at,SO2442_at,SO2443_at,SO0867_at,SO0564_at,SO2441_x_at,UP_SO3102_at,SO1324_at,SO1361_x_at,SO4236_at,SO1325_at,SO1532_x_at,SO3819_at,SO4349_at,SO1362_x_at,SO0866_at,UP_SO2713_at,SO0275_x_at,GSM634443
GSE25821_group28,SO0818_at,SO2445_at,SO2444_at,SO1532_x_at,SO2442_at,SO0867_at,SO2443_at,SO1915_at,SO2441_x_at,UP_SO3102_at,SO1361_x_at,SO0564_at,SO4236_at,SO3819_at,SO4349_at,SO1362_x_at,UP_SO2713_at,SO1325_at,SO1030_at,SO4652_x_at,GSM634443
GSE25821_group29,SO2442_at,SO1915_at,SO0818_at,SO4349_at,SO2445_at,SO2444_at,SO0867_at,SO2441_x_at,SO2443_at,SO0866_at,SO1361_x_at,SO1362_x_at,SO0564_at,SO1518_x_at,UP_SO2713_at,SO1324_at,SO4651_at,SO0273_x_at,SO1325_at,SO1532_x_at,GSM634443
GSE25821_group30,SO2442_at,SO0867_at,SO2444_at,SO1915_at,SO2445_at,SO0818_at,SO2443_at,SO1362_x_at,SO1532_x_at,SO2441_x_at,SO1361_x_at,SO4349_at,SO0564_at,SO2069_at,SO1325_at,SO0866_at,SO2073_at,SO2767_at,SO3415_at,SO1518_x_at,GSM634443
GSE25821_group31,SO2442_at,SO2444_at,SO1915_at,SO0867_at,SO2445_at,SO2443_at,SO1362_x_at,SO4349_at,SO2441_x_at,SO1361_x_at,SO0564_at,SO1518_x_at,SO0818_at,SO2073_at,SO4652_x_at,SO3415_at,SO1324_at,SO4651_at,SO4655_at,SO0866_at,GSM634443
GSE25821_group32,SO2444_at,SO2442_at,SO0867_at,SO0818_at,SO1362_x_at,SO1361_x_at,SO2445_at,SO2443_at,SO1915_at,SO0564_at,SO4652_x_at,SO3415_at,SO0866_at,SO2441_x_at,SO1518_x_at,SO4349_at,SO4655_at,SO2767_at,UP_SO2161_s_at,SO4651_at,GSM634443
GSE25821_group33,SO0818_at,SO0866_at,SO0867_at,SO1361_x_at,SO1362_x_at,SO0564_at,SO2444_at,SO1518_x_at,SO4652_x_at,SO4349_at,SO1915_at,SO0817_at,SO2442_at,SO2445_at,SO2443_at,SO4655_at,SO3737_at,SO3599_at,SO3415_at,SO4651_at,GSM634443
