,index,ACCESSION_STRING,GSM4233495,GSM4233496,GSM4233497,GSM4233498,GSM4233499,GSM4233500,GSM4233501,GSM4233502
5137,3476,SO_1878,14.74703416,13.98482174,15.00142882,14.03079914,14.16082916,13.43556041,13.43556041,14.67644438
5138,13668,SO_1878,9.576248296,9.182472167,9.334063935,9.504881217,8.649817831,8.158136729,8.527965984,8.082981081
5139,2614,SO_1878,11.00015415,9.749398234,10.09683878,9.950601587,10.441226,10.60504548,9.483752986,9.478580222
5140,6115,SO_1879,9.173130777,9.00114451,9.20174127,9.008691471,7.696750847,7.479023057,7.528210583,7.473199097
5141,1884,SO_1879,8.689670753,8.610448482,9.542367056,8.49598026,7.805542931,7.225509567,6.759473291,6.213713505
5142,12934,SO_1879,15.25645174,15.48583815,15.2963931,15.58059626,14.70079021,14.89400506,14.72473533,14.63573761
5143,2691,SO_1880,11.14901278,11.17775048,11.1510959,11.14332348,10.16286345,10.67372322,10.65634114,10.37351101
5144,11783,SO_1880,7.772521356,7.924998545,7.762174966,7.663781076,7.728558895,7.53406034,7.673972141,7.302925267
5145,6079,SO_1880,7.940864655,9.071881536,8.59700533,8.577783181,8.324602885,8.567124577,8.59700533,9.035744417
5146,10671,SO_1881,12.95680154,12.73487499,13.213071,12.8879762,12.80058399,12.87170676,12.92399479,12.97078561
5147,5615,SO_1881,9.653013136,9.968531931,10.00259541,9.976071931,10.09151815,10.1806863,9.946586621,9.497852012
5148,1099,SO_1881,9.150461528,8.669328316,8.88674473,8.838908723,8.328955756,8.028079208,8.108688255,7.863993181
5149,14768,SO_1882,,,,,,,,
5150,7715,SO_1882,9.581024167,9.307129841,9.032820848,9.391713679,8.985753261,9.01323567,9.419367894,9.24116409
5151,2756,SO_1882,8.57565775,8.089119863,8.0843106,8.039090884,8.387748479,9.095149971,8.659884745,8.485452339
5152,2022,SO_1883,10.66985399,11.57076002,11.05320475,11.12767202,10.78593778,10.37385082,10.22953245,10.36327933
5153,14078,SO_1883,,,,,,,,
5154,249,SO_1883,10.34537069,9.59029481,10.55179845,9.938614898,11.05343812,10.07485238,10.94047426,9.906280083
5155,10629,SO_1884,7.497353595,7.86824436,7.863993181,7.699356165,7.970825406,7.88398021,8.316847581,8.318119487
