,GENE,GSM769226,GSM769227,GSM769228,GSM769229,GSM769230,GSM769231,GSM769232,GSM769233
8292,SO3766,-2.106245187,-2.469204688,-2.469453334,-2.942226478,-1.452071295,-0.939557157,-1.56453878,-0.108067737
8293,SO3766,-2.715714543,-2.701020621,-3.278661793,-2.238533301,-2.898938758,-1.613250009,-0.591132297,-0.930402932
8294,SO3767,-1.124718654,-0.486633444,-0.893629862,2.895572486,-1.929029904,-1.031243366,-0.235183157,-0.940127642
8295,SO3767,0.063871388,-0.632277357,-1.382290225,-0.495750994,-1.498104498,-1.346857055,-0.575897366,-0.344547202
8296,SO3767F,-0.547562396,-1.365840673,-0.79181196,-3.612900907,-1.617079364,-0.83596278,-1.150960479,-0.102386447
8297,SO3767F,-0.254046461,-0.681695617,-1.001687295,-0.898232662,0.681801001,-1.00827446,-0.490791092,-0.114589399
8298,SO3768,-2.078081349,-3.512133061,-4.371625045,-4.542806778,-3.394046808,-1.400976278,-2.288725011,-1.399770736
8299,SO3768,-3.663249113,-2.784005235,-3.524845373,-2.657701541,-3.364041775,-2.849002854,-1.925365889,-2.923738126
8300,SO3769,-1.519563137,-2.107218441,-6.180145923,-5.088623248,-3.051323339,-1.827446281,-0.646615013,-2.758266604
8301,SO3769,-1.580044532,-2.92745952,-3.428961767,,-3.280123797,-2.214306396,-3.477127348,2.669040381
