,index,ORF,GSM87832,GSM88468,GSM88469,GSM88470,GSM88471,GSM88472,GSM88473,GSM88474,GSM88475,GSM88476,GSM88477,GSM88478,GSM88479,GSM88482,GSM88537,GSM88538,GSM88539,GSM88540,GSM88541,GSM88542
4340,7819,SO1972,,,,-0.011587974,,,,,,,-0.349235441,,0.264236151,-0.200912694,,,,,-0.024736678,-0.746615764
4341,2059,SO1972,,,,-0.011587974,,,0.925999419,,,,-0.349235441,,-0.075520008,-0.200912694,,-0.064917477,,,-0.024736678,-0.746615764
4342,5072,SO1973,-0.209227962,-0.205896101,0.070389328,0.531069493,,,-0.590744853,-0.422752464,-0.392137097,-0.63039393,-0.148800661,0.012926174,0.605020153,-0.027674958,,0.037030731,,0.137503524,-0.327348371,-0.058893689
4343,10832,SO1973,-0.209227962,-0.205896101,0.070389328,0.531069493,,,-0.590744853,-0.422752464,-0.392137097,-0.63039393,-0.148800661,0.012926174,0.0,-0.027674958,,0.037030731,,0.137503524,-0.327348371,-0.058893689
4344,3196,SO1974,0.589763487,0.546956178,0.324234562,0.141432791,0.124328135,0.13093087,0.289244285,0.479230561,-0.008682243,0.03562391,0.328836464,0.209141398,-0.248107862,0.219091058,0.285698126,0.563646269,-0.084670324,0.276198865,-0.103146927,0.186500558
4345,8956,SO1974,0.589763487,0.546956178,0.324234562,0.141432791,0.124328135,0.13093087,0.289244285,0.479230561,-0.008682243,0.03562391,0.328836464,0.209141398,-0.089267338,0.219091058,0.285698126,0.563646269,-0.084670324,0.276198865,-0.103146927,0.186500558
4346,2172,SO1975,0.0,-0.18606493,,0.275007047,,,0.0,,,,,-0.345564459,-0.345564459,-0.349235441,,,,0.321928095,,-0.254977851
4347,7932,SO1975,0.0,-0.18606493,,0.275007047,,,0.0,,,,,,0.25821739,-0.349235441,,0.313826296,,0.321928095,,-0.254977851
4348,5052,SO1976,1.246712101,1.169283661,1.376846014,1.098284796,0.604071324,0.650764559,0.186500558,0.681674142,0.260627908,-0.12973393,0.624802765,0.439357178,-0.215914857,0.031395196,0.039840265,0.415758667,,0.137503524,-0.459972731,0.264236151
4349,10812,SO1976,1.246712101,1.169283661,1.376846014,1.098284796,0.604071324,0.650764559,0.186500558,0.681674142,0.260627908,-0.12973393,0.624802765,0.439357178,0.038436182,0.031395196,0.039840265,0.415758667,,0.137503524,-0.459972731,0.264236151
4350,7936,SO1977,1.707966455,1.739416093,1.594070757,1.541019153,0.838346737,0.401630467,,-0.011587974,0.432959407,0.632268215,0.925239905,0.263034406,0.321928095,0.025737561,,,,,,-0.30222618
4351,2176,SO1977,1.707966455,1.739416093,1.594070757,1.541019153,0.838346737,0.401630467,0.485426827,-0.011587974,0.432959407,0.632268215,0.925239905,0.263034406,-0.550042516,0.025737561,,,,,,-0.30222618
4352,10816,SO1978,,,-0.384583703,0.423309237,,,,0.263034406,-1.10159814,-1.12973393,0.659011171,1.092883966,0.084064265,1.219091058,-1.59946207,0.376290383,-2.336427665,1.944858446,-1.407363571,1.109026176
4353,5056,SO1978,,,-0.384583703,0.423309237,,,,0.263034406,-1.10159814,-1.12973393,0.659011171,1.092883966,-1.046921047,1.219091058,-1.59946207,0.376290383,-2.336427665,1.944858446,-1.407363571,1.109026176
4354,1508,SO1979,-0.054392297,-0.189351252,-0.040971781,-0.02620507,-0.092340172,-0.369594529,-0.307572802,-0.153606979,0.22650853,0.299830762,-0.422752464,-0.242976753,0.088141597,-0.16326792,-0.508403406,-1.043943348,0.001441974,-0.691988685,-0.103146927,-0.514573173
4355,7268,SO1979,-0.054392297,-0.189351252,-0.040971781,-0.02620507,-0.092340172,-0.369594529,-0.307572802,-0.153606979,0.22650853,0.299830762,-0.422752464,-0.242976753,-0.913216234,-0.16326792,-0.508403406,-1.043943348,0.001441974,-0.691988685,-0.103146927,-0.514573173
4356,4388,SO1980,0.089498151,0.334568276,0.097610797,0.044044333,0.038436182,-0.481968507,0.094911647,-0.126580497,-0.118726939,-0.02180437,-0.153606979,-0.148800661,-0.641603738,-0.36215794,-0.200912694,-0.689659879,0.273814245,-0.327348371,-0.070966521,-0.459972731
