,GENE,GSM282000,GSM282001,GSM282002
5613,SO2552,-0.748263929,-0.080204743,-1.317610498
5614,SO2553,-0.960278638,-1.843902631,-0.948444102
5615,SO2553,-0.387687116,-0.128562307,-0.789729324
5616,SO2554,0.119813992,-0.060208181,-0.73195499
5617,SO2554,-0.371036452,0.066220315,-1.28431507
5618,SO2555,-0.48918715,-0.362551653,-1.335349094
5619,SO2555,-0.603377178,-0.780847771,-1.034102809
5620,SO2556,-0.185576757,-0.204160772,-0.369526099
5621,SO2556,-0.352164893,-0.159068307,-0.773019263
5622,SO2556F,-0.35996165,-0.22487188,-0.584636616
5623,SO2556F,-0.393049837,-0.437546709,-0.57045484
5624,SO2557,0.109991775,0.268316884,-0.049579681
5625,SO2557,0.421875644,0.306598603,-0.362053368
5626,SO2558,-1.374036727,-1.147702066,-1.0603244
5627,SO2558,-0.912330896,-0.824297294,-1.269915149
5628,SO2559,0.143981087,0.533525709,-0.181709887
5629,SO2559,0.459002983,0.525369919,0.148525619
5630,SO2560,0.691404991,0.733523947,0.567156973
5631,SO2560,0.580391508,0.621638075,0.469933413
5632,SO2560F,0.714654815,0.846900952,0.577910137
5633,SO2560F,0.817810286,0.624756472,0.454922518
5634,SO2561,0.427590816,0.357251804,-0.294959368
5635,SO2561,0.466895443,0.456841892,-0.710434836
5636,SO2562,0.178565647,0.277999624,-0.11365241
5637,SO2562,0.35580844,0.507761532,-0.229417405
5638,SO2563,0.393859193,0.48281088,0.092274031
5639,SO2563,0.387476151,0.561521776,-0.026006933
5640,SO2564,1.205388771,1.215801773,1.127279206
5641,SO2564,1.555138087,1.487639086,0.218543677
5642,SO2565,0.567077189,0.766622031,0.319543951
5643,SO2565,0.384963062,0.46750085,0.399733258
5644,SO2566,0.000668768,0.094719731,-0.362788469
5645,SO2566,-0.043653033,0.045335919,-0.287376928
5646,SO2567,0.371729996,0.373277748,0.144659827
5647,SO2567,0.071470989,0.362870665,-0.277471107
5648,SO2567F,0.013820048,0.183343913,0.045858537
5649,SO2567F,0.407153708,0.46701605,0.096192868
5650,SO2568,-0.329976739,-0.470646591,-0.621763719
5651,SO2568,-0.20592255,-0.22097617,-1.324691624
5652,SO2569,0.840899803,0.916595616,0.225099664
5653,SO2569,0.868745361,0.970919927,0.602965955
5654,SO2570,0.846296668,0.7036423,0.384186091
5655,SO2570,0.635401226,0.486062464,0.299450053
5656,SO2571,0.281797602,0.256568301,-0.135861171
5657,SO2571,0.757300989,0.624270313,0.172734784
5658,SO2572,0.675049312,0.610883449,0.401275702
5659,SO2572,0.45238909,0.685023408,0.326629531
5660,SO2572F,0.942637922,0.816535703,0.182321602
5661,SO2572F,0.582436492,0.95766236,0.473497001
5662,SO2573,-0.796124109,-0.630231233,-0.912442662
5663,SO2573,-0.596147228,-0.617207237,-0.786476983
5664,SO2574,-0.261569447,-0.833823124,-0.867859341
5665,SO2574,-0.441187305,-0.327086424,-0.542148706
5666,SO2574F,-0.971479911,-0.202418732,-0.743240766
5667,SO2574F,-0.292778931,-0.229546045,-0.659180931
5668,SO2575,0.57803075,0.461513298,0.241008791
5669,SO2575,0.394745722,0.357790728,-0.298003031
5670,SO2576,0.910929025,0.758541549,0.496754666
5671,SO2576,0.626467123,0.731504509,0.34111612
5672,SO2577,0.95814398,0.833744237,0.667063504
5673,SO2577,1.062265263,1.079850257,0.861795223
5674,SO2577F,1.061547655,0.976276469,0.567647054
5675,SO2577F,0.963583086,0.996167656,0.661882126
5676,SO2578,0.068475474,-0.387735407,-0.277425563
5677,SO2578,0.141722572,0.150467525,-0.734237512
5678,SO2579,-0.125118598,-0.256111553,-0.879883497
5679,SO2579,-0.451822909,-0.342599376,-0.94577867
5680,SO2579F,-0.008340396,-0.253906637,-0.35086333
5681,SO2579F,0.242176061,0.074145033,-0.156629536
5682,SO2580,0.860069407,0.891805359,0.639326987
5683,SO2580,0.671398823,1.076414025,0.788788441
5684,SO2581,0.891536803,0.872485253,0.349362918
5685,SO2581,0.804292868,0.929980374,0.412235434
5686,SO2582,0.934791781,1.024180566,0.279694891
5687,SO2582,1.046213208,0.908794706,0.657917053
5688,SO2583,0.874265047,1.102021438,0.570579589
5689,SO2583,0.934947506,1.089294044,0.299555662
5690,SO2584,0.477227067,0.540454387,-0.047487572
5691,SO2584,0.535537636,0.579890361,-0.283476648
5692,SO2585,-0.366039012,-0.431498934,-0.83728846
5693,SO2585,-0.225290792,-0.091887187,-1.133872998
5694,SO2585F,0.630930911,0.659831774,0.541731247
5695,SO2585F,0.797910836,0.606023333,0.156291669
5696,SO2586,1.11260366,1.382335074,0.782967715
