,index,ORF,GSM635111,GSM635112,GSM635113,GSM635114,GSM635115,GSM635116,GSM635117,GSM635118
1406,1484,SO_0502,41999.66667,32300.83333,34478.66667,36806.33333,30624.66667,34449.0,35663.83333,42337.33333
1407,4830,SO_0502,211.6666667,643.0,39.66666667,293.6666667,1.0,199.3333333,703.1666667,598.5
1408,9489,SO_0502,258.1666667,1.0,849.5,540.5,551.3333333,619.6666667,595.3333333,566.6666667
1409,3092,SO_0503,1317.166667,13970.0,1.0,26.83333333,477.6666667,61.33333333,423.3333333,453.5
1410,12065,SO_0503,10694.16667,8728.0,5377.833333,6603.333333,4432.333333,6195.666667,6407.0,8659.666667
1411,8138,SO_0503,17856.66667,41268.16667,4534.333333,3887.0,4146.5,2669.666667,1732.833333,1846.333333
1412,1858,SO_0504,4236.333333,15325.66667,4426.333333,3817.0,4146.5,3082.666667,5486.0,4975.833333
1413,10266,SO_0504,2881.666667,2743.333333,3820.333333,5503.333333,4808.333333,6395.0,3336.166667,2810.0
1414,4667,SO_0504,6273.333333,5873.166667,5109.0,5941.333333,5009.333333,4307.166667,20756.66667,18590.0
1415,8341,SO_0505,3060.333333,5780.333333,946.8333333,927.0,671.0,1504.0,1553.333333,1256.333333
1416,9096,SO_0505,34216.66667,44062.33333,44906.0,50983.66667,42709.83333,49006.33333,45467.16667,58904.0
1417,4235,SO_0505,405.0,643.0,423.3333333,329.0,477.6666667,327.6666667,1738.5,1085.666667
1418,6969,SO_0506,17078.83333,12584.66667,13047.16667,12398.33333,11895.33333,9890.166667,11540.66667,11957.66667
1419,4399,SO_0506,3984.333333,3503.666667,6811.666667,8052.0,6284.0,5815.0,8757.333333,7400.666667
1420,12857,SO_0506,6675.0,28740.0,7844.0,5203.0,6952.666667,5194.666667,9193.333333,8114.166667
1421,9490,SO_0507,1218.0,3204.0,1629.166667,1314.0,1326.333333,776.0,1164.666667,1100.333333
1422,7639,SO_0508,42511.66667,52498.66667,48956.83333,54052.0,44092.0,38566.0,50484.83333,41816.66667
1423,13489,SO_0508,,,,,,,,
1424,8930,SO_0508,38302.33333,46343.66667,28607.83333,31782.0,35360.33333,45467.16667,56491.33333,41963.33333
1425,9491,SO_0509,3566.333333,7394.666667,6084.666667,6386.333333,7238.666667,7153.333333,4544.166667,4723.333333
1426,5079,SO_0510,35096.33333,14125.66667,29423.83333,24115.33333,22572.66667,21949.16667,8831.5,8553.333333
1427,2362,SO_0510,4695.5,8072.0,6617.666667,6926.0,4146.5,5253.333333,6502.333333,8875.666667
1428,10693,SO_0510,17211.5,21103.0,17153.5,11675.0,19360.5,10337.0,16997.0,17521.0
1429,3296,SO_0511,778.3333333,1689.0,893.6666667,967.6666667,1202.833333,1784.666667,1328.166667,1460.666667
1430,11327,SO_0511,2109.333333,1028.833333,3155.666667,3360.666667,2415.666667,2056.833333,813.0,2770.5
1431,7747,SO_0511,13691.33333,8408.833333,10066.33333,9525.0,16644.0,15843.0,7394.666667,3946.666667
1432,3717,SO_0512,7510.0,9573.666667,2953.666667,1646.0,2363.666667,4346.333333,729.3333333,840.0
1433,7575,SO_0512,8407.0,16340.0,9077.333333,9481.0,7833.0,6142.833333,11559.0,7565.666667
1434,11982,SO_0512,1562.5,2034.0,662.6666667,1001.5,333.3333333,1198.0,1410.666667,1633.666667
1435,8582,SO_0513,54208.33333,52570.66667,49346.33333,40554.33333,40952.16667,51353.66667,52149.0,48860.0
1436,4183,SO_0513,1754.333333,4082.833333,946.8333333,1483.666667,1371.166667,1306.666667,1976.833333,1863.666667
1437,6970,SO_0513,1.0,15.0,22.83333333,1.0,21.0,1.0,1.0,1.0
1438,5128,SO_0514,13515.0,8837.666667,14676.0,11770.33333,10138.66667,9602.666667,5242.333333,8502.666667
1439,1121,SO_0514,20115.0,3568.333333,6656.666667,11238.33333,6908.833333,14770.0,17202.33333,19727.33333
1440,10947,SO_0514,4646.0,4462.0,2479.0,3234.333333,3300.333333,3469.0,3829.166667,2278.5
1441,479,SO_0515,15858.33333,19838.33333,45812.0,38953.66667,35475.66667,27265.66667,21834.33333,29069.66667
1442,4570,SO_0515,5713.0,3486.5,4067.333333,4337.333333,2690.0,5535.333333,1059.333333,1085.666667
1443,10438,SO_0515,1277.0,1144.0,2415.833333,3003.5,2555.0,2056.833333,2445.666667,3269.333333
1444,4236,SO_0516,113.3333333,380.3333333,148.6666667,523.6666667,806.6666667,147.1666667,567.0,278.6666667
1445,12644,SO_0516,34806.33333,21464.66667,25768.33333,27223.66667,26215.33333,28860.0,6425.333333,8924.166667
1446,7216,SO_0516,1562.5,1866.666667,1465.0,1483.666667,2730.333333,1366.333333,1325.666667,1071.333333
1447,10948,SO_0517,1267.666667,1224.666667,1056.333333,1421.5,1202.833333,1168.0,924.1666667,401.3333333
1448,11242,SO_0518,2317.666667,1277.166667,4877.666667,3649.0,3694.666667,3603.666667,1435.166667,1010.0
1449,2363,SO_0518,4033.666667,1689.0,3598.333333,3254.333333,4808.333333,3024.333333,4619.333333,4419.333333
1450,5280,SO_0518,7486.0,2765.666667,4151.0,5040.5,5551.666667,6578.5,4970.0,7254.833333
1451,9144,SO_0519,2579.0,1719.333333,2785.333333,2825.0,4392.666667,4734.0,5727.0,4651.0
1452,9843,SO_0519,24341.33333,17253.5,16096.0,14678.16667,16118.33333,21124.33333,5105.333333,7329.166667
1453,4883,SO_0519,1635.0,10186.0,1073.666667,1437.666667,717.8333333,1168.0,2953.833333,5100.333333
1454,2240,SO_0520,11904.0,10771.83333,7178.0,7043.333333,4432.333333,9500.0,1677.333333,1947.833333
1455,5281,SO_0520,4384.0,873.1666667,594.6666667,1201.333333,1850.333333,1384.0,1521.333333,1256.333333
1456,12066,SO_0520,11601.33333,28769.33333,21733.66667,20335.33333,12977.33333,12390.33333,10657.33333,10718.0
1457,1122,SO_0521,2632.333333,1818.666667,4397.5,2586.666667,2555.0,1876.666667,3266.166667,2908.0
1458,10694,SO_0521,11108.33333,4858.0,10320.66667,8463.833333,9707.666667,10353.33333,9104.166667,7981.333333
1459,4237,SO_0521,4625.666667,5763.166667,3562.0,4674.5,4022.0,7053.166667,9851.0,9500.0
1460,11408,SO_0522,5621.0,5981.0,3204.666667,5379.666667,5322.833333,5324.166667,7175.666667,5626.333333
1461,1055,SO_0522,16831.0,3595.333333,28497.0,29785.0,22264.16667,23954.0,9692.666667,9693.833333
1462,6330,SO_0522,4419.333333,7769.666667,7012.5,5148.5,3468.333333,2466.333333,1537.5,763.3333333
