,GENE,GSM663193,GSM663194,GSM663195,GSM663196,GSM663197,GSM663198
6806,SO3058,1.0,0.0,0.0,0.0,0.0,-1.585
6807,SO3058,,,,,,
6808,SO3058F,,,,,,
6809,SO3058F,,,,,,
6810,SO3059,1.222,2.044,1.126,-2.585,-3.737,-1.841
6811,SO3059,1.807,3.07,1.152,-2.503,-3.298,-1.585
6812,SO3060,0.0,0.0,-0.447,-0.874,-1.0,-0.926
6813,SO3060,0.415,0.222,-0.067,-0.17,-0.807,-0.17
6814,SO3061,1.138,0.652,0.181,-0.322,-0.363,-1.459
6815,SO3061,1.322,0.737,0.83,0.193,-0.322,-0.874
6816,SO3061F,,,,,,
6817,SO3061F,,,,,,
6818,SO3062,1.0,1.0,0.0,-1.0,-1.0,0.0
6819,SO3062,0.0,0.0,-1.0,-1.0,0.0,-1.0
6820,SO3063,-0.396,0.193,-0.567,0.646,0.206,0.126
6821,SO3063,-1.0,-0.199,-0.666,-0.054,-0.634,0.214
6822,SO3064,0.737,0.626,0.388,0.799,-0.025,-0.274
6823,SO3064,0.521,0.303,-0.126,0.565,-0.232,-0.496
6824,SO3064F,,,,,,
6825,SO3064F,,,,,,
6826,SO3065,0.351,0.415,-0.213,0.425,0.16,-0.093
6827,SO3065,-0.129,0.103,-0.423,-0.206,-0.551,0.0
6828,SO3066,1.087,1.287,0.348,-0.877,-0.848,-1.04
6829,SO3066,1.856,1.248,0.984,-0.565,-0.673,-0.745
6830,SO3067,1.1,1.029,0.392,-0.706,-0.802,-0.928
6831,SO3067,0.464,0.716,0.292,-1.644,-1.642,-0.663
6832,SO3068,0.786,1.252,0.255,-0.635,-0.982,-0.874
6833,SO3068,1.374,1.372,0.787,-0.379,-0.774,-0.727
6834,SO3069,1.367,1.435,1.084,-3.278,-2.459,-2.0
6835,SO3069,2.16,1.626,1.243,-2.283,-2.409,-1.732
6836,SO3069F,,,,,,
6837,SO3069F,,,,,,
6838,SO3070,2.205,1.503,0.479,-2.367,-1.19,-1.19
6839,SO3070,2.637,1.716,1.03,-1.807,-1.152,-0.897
6840,SO3071,1.322,1.0,0.547,-2.322,-2.059,-1.585
6841,SO3071,1.907,1.678,0.621,-1.678,0.263,-1.415
6842,SO3072,0.597,-0.424,-0.921,0.184,0.702,1.241
6843,SO3072,0.178,-0.722,-1.625,-0.063,1.17,0.803
6844,SO3073,0.663,0.667,0.0,-2.29,-1.807,-0.678
6845,SO3073,1.273,1.051,0.186,-1.047,-1.129,-0.637
6846,SO3074,2.0,1.0,0.585,0.0,-1.585,-1.222
