,GENE,GSM358310,GSM358311,GSM358312
458,SO0204,0.23041152,0.23103091,0.156017366
459,SO0204,-0.461921228,-0.305083479,-0.060841382
460,SO0205,-0.259227698,-0.073888579,-0.44036786
461,SO0205,-0.00262674,-0.164669266,0.074582653
462,SO0206,0.255669001,0.323583395,0.461989561
463,SO0206,-0.583138633,-0.188102858,-0.186216212
464,SO0207,-0.011185839,-0.203563193,0.094265852
465,SO0207,-0.645465867,0.292950465,0.261908439
466,SO0208,-0.488670924,-0.021540644,0.147666863
467,SO0208,-0.427231314,-0.06169313,0.182699801
468,SO0209,-0.86125359,-0.029521474,0.110074956
469,SO0209,-0.765230586,-0.003286585,0.286150768
470,SO0209F,0.371620629,0.935833237,0.912673611
471,SO0209F,0.133348845,0.123630588,0.044340124
472,SO0210,0.679855976,0.339769302,0.991020301
473,SO0210,-0.767925385,-0.21510535,-0.185966945
474,SO0211,-0.364022903,-0.072701231,-0.294971427
475,SO0211,-0.108849458,0.0391971,0.656521152
476,SO0212,-0.461523025,0.217614878,-0.209934401
477,SO0212,-0.282408742,-0.168371268,0.358666033
478,SO0212F,-1.173275116,-0.223058768,-0.005494462
479,SO0212F,-0.618930215,-0.327413518,0.370175275
480,SO0213,-0.831209441,-0.207036343,0.049817334
481,SO0213,0.115292877,0.005335092,0.343438091
482,SO0214,-0.033716606,0.353672385,0.455448123
483,SO0214,-0.048007095,-0.175683439,-0.450170477
484,SO0215,0.067441004,0.062761075,0.200219968
485,SO0215,1.249279005,1.824205632,1.796913361
486,SO0216,-0.409822171,0.308380228,-0.08130694
487,SO0216,0.013111106,-0.062676289,0.261331438
488,SO0216F,-0.226294672,-0.431550134,0.081855572
489,SO0216F,2.579208691,2.198900368,1.639544428
490,SO0217,0.912361088,0.878246322,0.649065286
491,SO0217,-0.242027986,0.035151995,-0.138664766
492,SO0218,-0.124159899,0.098775223,0.765709631
493,SO0218,-0.652370171,-0.447983498,-0.129757382
494,SO0219,-0.658117731,0.123340136,0.210669874
495,SO0219,-0.058036239,-0.089489958,-0.055898555
496,SO0220,-0.266046581,-0.065045094,-0.124531068
497,SO0220,-0.140552567,0.120256548,0.200366222
498,SO0221,-0.083328928,-0.218357271,-0.262418968
499,SO0221,-0.347172054,0.151820603,0.186375536
500,SO0222,-0.686859137,-0.024878621,0.027799637
501,SO0222,-0.220924985,0.79765259,-0.249870587
502,SO0223,-0.007584038,-0.163065328,0.330871694
503,SO0223,-0.54187635,-0.160843733,0.242160353
504,SO0224,-0.568105862,-0.421069612,-0.370298053
505,SO0224,-0.441763521,0.127800503,0.280795635
506,SO0225,-0.065318797,0.402506496,0.050779724
507,SO0225,0.16451042,0.389123595,0.032036315
508,SO0226,-0.194183339,0.552282516,0.283082911
509,SO0226,-0.229146729,0.494916452,-0.126048805
510,SO0227,0.033133611,-0.360486987,0.221471091
511,SO0227,-0.171130757,-0.03815843,0.093730737
512,SO0228,0.110681629,0.001246237,0.284306725
513,SO0228,-0.139144621,0.110793289,0.018140627
514,SO0229,-0.00716566,0.013531467,-0.0751497
515,SO0229,0.040120984,0.260575714,-0.027010632
516,SO0230,-0.935372617,-0.280201286,-0.655650642
